genome,completeness,contamination,length,N50
EHA00723_bin.14.fa.gz,88.2,0.72,2348002,29912
EHA03384_bin.29.fa.gz,85.05,0.0,1404472,4033
EHA03755_bin.287.fa.gz,95.77,0.72,2287939,148086
EHA03406_bin.2.fa.gz,99.77,0.2,2729998,217991
EHA00661_bin.28.fa.gz,92.53,1.292,2474466,65782
EHA03694_bin.490.fa.gz,99.81,1.06,1382439,13800
EHA01426_bin.45.fa.gz,86.3,3.397,3269231,5464
EHA00667_bin.6.fa.gz,54.31,3.448,2093842,3561
EHA03379_bin.40.fa.gz,50.13,9.73,2431142,8648
EHA01404_bin.24.fa.gz,97.33,1.444,1741182,61973
EHA03442_bin.28.fa.gz,96.4,0.62,853935,4165
EHA03651_bin.210.fa.gz,74.01,2.09,1721139,13957
EHA00654_bin.3.fa.gz,98.0,0.0,4396542,58804
EHA03781_bin.133.fa.gz,90.34,0.85,2671495,9579
EHA01432_bin.40.fa.gz,92.46,0.095,2381485,7563
EHA01426_bin.19.fa.gz,75.5,0.83,2840512,3855
EHA03445_bin.39.fa.gz,99.85,0.01,2624644,28129
EHA00726_bin.9.fa.gz,67.55,0.632,4431537,5569
EHA03694_bin.226.fa.gz,96.83,0.14,2724159,41924
EHA03408_bin.15.fa.gz,99.89,0.27,3372735,225245
EHA03651_bin.472.fa.gz,83.73,1.37,2657172,4163
EHA02919_bin.122.fa.gz,76.45,2.56,3724802,7356
EHA03755_bin.304.fa.gz,67.08,2.51,2037050,5269
EHA03694_bin.537.fa.gz,59.9,6.36,1946350,3296
EHA03694_bin.29.fa.gz,98.86,2.8,3052425,63508
EHA03781_bin.693.fa.gz,97.28,0.42,4363351,25344
EHA00674_bin.1.fa.gz,60.0,5.0,3016954,7567
EHA03651_bin.97.fa.gz,97.44,0.63,3450004,3707
EHA03433_bin.21.fa.gz,57.44,7.58,2466414,22047
EHA01447_bin.88.fa.gz,57.53,0.073,1150656,3501
EHA03755_bin.249.fa.gz,62.34,1.92,3029263,6003
EHA00726_bin.40.fa.gz,99.36,0.949,3131099,140701
EHA03586_bin.44.fa.gz,62.23,3.44,3677702,10414
EHA03588_bin.20.fa.gz,96.6,0.7,4451467,82799
EHA01432_bin.87.fa.gz,96.51,0.671,2478129,13154
EHA03694_bin.641.fa.gz,99.49,1.2,1828503,8188
EHA03694_bin.127.fa.gz,89.02,6.26,1731829,4719
EHA01432_bin.149.fa.gz,58.49,3.104,1841786,2886
EHA00717_bin.27.fa.gz,59.99,1.495,2831548,2906
EHA03781_bin.297.fa.gz,79.66,0.49,2964990,9979
EHA03377_bin.16.fa.gz,76.18,3.49,5103742,8492
EHA03781_bin.39.fa.gz,95.21,8.32,3864325,30142
EHA03694_bin.406.fa.gz,96.03,0.12,2174843,5110
EHA01443_bin.93.fa.gz,58.07,0.671,1667999,3332
EHA00661_bin.20.fa.gz,100.0,0.537,3827050,113849
EHA03424_bin.19.fa.gz,99.73,0.63,2824135,79378
EHA01421_bin.58.fa.gz,89.17,0.267,1928101,30076
EHA03651_bin.343.fa.gz,79.78,1.16,3160452,9921
EHA03651_bin.37.fa.gz,59.21,7.5,2327843,3312
EHA01426_bin.108.fa.gz,56.69,1.724,4705467,9637
EHA03414_bin.9.fa.gz,61.36,6.92,2379828,2905
EHA03432_bin.15.fa.gz,99.43,0.45,2666331,60692
EHA03694_bin.112.fa.gz,88.67,1.34,3563202,12993
EHA02915_bin.119.fa.gz,96.58,0.05,1427877,62551
EHA03694_bin.18.fa.gz,99.45,1.11,2626196,15025
EHA03781_bin.59.fa.gz,86.75,0.15,1636076,20025
EHA03781_bin.779.fa.gz,97.55,1.69,552439,2721
EHA03423_bin.46.fa.gz,82.46,8.54,4401695,29625
EHA03386_bin.9.fa.gz,76.47,1.66,1383651,3761
EHA03694_bin.287.fa.gz,97.12,1.22,1718497,10543
EHA00728_bin.7.fa.gz,96.03,0.887,2886116,12600
EHA01447_bin.92.fa.gz,81.79,3.006,3535230,6231
EHA03584_bin.40.fa.gz,86.18,0.96,4405224,88063
EHA03439_bin.33.fa.gz,63.26,9.86,2111558,2291
EHA03781_bin.412.fa.gz,82.24,2.19,2406278,24963
EHA03781_bin.404.fa.gz,97.15,1.1,3483085,10995
EHA03599_bin.28.fa.gz,100.0,0.0,1343077,5980
EHA00690_bin.3.fa.gz,96.37,0.0,2020612,215694
EHA03651_bin.4.fa.gz,63.8,0.69,2907853,6410
EHA03781_bin.556.fa.gz,90.5,0.57,2441314,7799
EHA01409_bin.107.fa.gz,55.02,6.828,1717034,2790
EHA03408_bin.13.fa.gz,99.11,2.11,3223841,28815
EHA01421_bin.66.fa.gz,77.1,2.598,3377124,6170
EHA03392_bin.16.fa.gz,99.8,0.09,3766729,154505
EHA03431_bin.45.fa.gz,97.98,0.24,1012383,36961
EHA00651_bin.39.fa.gz,92.48,1.714,2206691,9096
EHA03781_bin.671.fa.gz,65.6,0.66,616015,11836
EHA03694_bin.473.fa.gz,96.37,0.22,2325567,16724
EHA01426_bin.23.fa.gz,95.31,2.49,3790604,15713
EHA03386_bin.16.fa.gz,63.2,0.12,1700869,4771
EHA03781_bin.685.fa.gz,66.28,2.69,3099752,4958
EHA03445_bin.28.fa.gz,97.35,0.0,4624946,69242
EHA03694_bin.28.fa.gz,94.88,0.53,3180651,53120
EHA00653_bin.6.fa.gz,64.75,1.523,2571649,2888
EHA03781_bin.613.fa.gz,81.56,3.34,889026,5768
EHA01432_bin.6.fa.gz,58.72,2.426,3405902,2969
EHA03781_bin.216.fa.gz,77.19,2.85,3970563,5936
EHA03694_bin.135.fa.gz,84.5,1.58,2672252,7119
EHA03781_bin.197.fa.gz,91.39,0.04,2601477,8238
EHA03694_bin.210.fa.gz,92.85,0.28,2882745,6494
EHA00667_bin.8.fa.gz,93.1,3.125,2501745,42552
EHA00728_bin.4.fa.gz,68.1,1.724,4572350,6580
EHA03403_bin.28.fa.gz,99.1,1.53,1999021,36953
EHA01426_bin.52.fa.gz,52.99,2.991,1212051,7934
EHA03417_bin.31.fa.gz,57.72,1.49,2262833,8830
EHA03419_bin.2.fa.gz,78.94,1.16,3244750,68950
EHA03781_bin.31.fa.gz,99.76,0.44,2807553,23659
EHA03375_bin.14.fa.gz,99.82,0.62,4673111,65339
EHA00717_bin.19.fa.gz,78.66,0.0,1663627,98439
EHA03694_bin.252.fa.gz,98.57,0.0,1749881,45655
EHA02919_bin.192.fa.gz,94.6,0.0,986882,40477
EHA00679_bin.9.fa.gz,98.66,0.444,3023947,99881
EHA03387_bin.26.fa.gz,96.12,0.18,4310527,19170
EHA02915_bin.74.fa.gz,99.65,0.87,3217605,6808
EHA03694_bin.401.fa.gz,92.58,7.41,3402006,27952
EHA00719_bin.1.fa.gz,91.28,1.565,1782332,11526
EHA03584_bin.39.fa.gz,55.2,8.92,1254956,2280
EHA00720_bin.15.fa.gz,97.83,0.48,1991613,22444
EHA02919_bin.95.fa.gz,92.86,1.93,2197484,3290
EHA03377_bin.23.fa.gz,91.83,0.2,2620971,53498
EHA01443_bin.136.fa.gz,94.73,1.541,3600606,33263
EHA03781_bin.99.fa.gz,100.0,2.42,1953688,7011
EHA01447_bin.79.fa.gz,89.4,2.531,3998241,8860
EHA03435_bin.31.fa.gz,86.13,1.53,979241,116250
EHA00563_bin.30.fa.gz,84.34,0.061,1935636,29566
EHA02919_bin.85.fa.gz,99.76,0.31,2397859,2835
EHA03382_bin.13.fa.gz,98.95,0.05,2665983,59088
EHA03755_bin.20.fa.gz,55.2,0.69,1644010,2575
EHA00726_bin.3.fa.gz,62.9,0.877,1991225,3162
EHA03586_bin.8.fa.gz,97.14,0.0,1050992,2714
EHA03755_bin.48.fa.gz,93.22,1.28,2641857,10440
EHA03694_bin.302.fa.gz,80.28,1.06,2805244,7460
EHA03755_bin.313.fa.gz,91.73,5.43,2698801,12597
EHA03400_bin.26.fa.gz,62.33,6.82,2856360,3464
EHA00726_bin.22.fa.gz,85.32,6.276,3262095,12454
EHA03435_bin.47.fa.gz,55.41,6.76,1712124,6469
EHA03379_bin.26.fa.gz,86.91,0.71,3135984,10060
EHA01443_bin.135.fa.gz,96.66,0.777,1730904,29359
EHA03378_bin.17.fa.gz,91.8,0.03,3864057,122447
EHA03415_bin.15.fa.gz,50.55,0.11,1812616,2614
EHA03694_bin.417.fa.gz,65.12,0.82,2957664,9780
EHA01421_bin.54.fa.gz,95.46,2.589,4957482,10456
EHA01439_bin.26.fa.gz,97.22,1.486,5393974,168100
EHA03694_bin.92.fa.gz,87.64,2.33,3385769,22610
EHA00671_bin.21.fa.gz,97.28,1.923,4914829,99416
EHA00652_bin.2.fa.gz,54.15,3.596,3847144,2861
EHA00667_bin.11.fa.gz,88.65,7.354,3645600,4404
EHA01432_bin.11.fa.gz,74.23,0.591,2896311,5426
EHA03781_bin.93.fa.gz,94.99,1.57,810075,49300
EHA03431_bin.14.fa.gz,72.17,1.21,1800987,3989
EHA03408_bin.47.fa.gz,50.51,2.78,2040542,2777
EHA03781_bin.479.fa.gz,96.99,0.11,3357030,9887
EHA00724_bin.24.fa.gz,94.66,1.444,3695118,8419
EHA03694_bin.669.fa.gz,65.13,1.13,2516067,3275
EHA03781_bin.346.fa.gz,93.97,0.02,2498647,2825
EHA00719_bin.5.fa.gz,90.71,0.215,3251388,13100
EHA01404_bin.13.fa.gz,75.57,3.173,1792963,4129
EHA03374_bin.16.fa.gz,50.07,8.63,2642528,14810
EHA03694_bin.585.fa.gz,89.63,0.08,2516491,4562
EHA03651_bin.196.fa.gz,79.32,3.33,2106984,7604
EHA03781_bin.351.fa.gz,89.37,4.26,1781265,3547
EHA03373_bin.2.fa.gz,99.99,0.13,3158671,94071
EHA01426_bin.3.fa.gz,84.54,4.276,2001440,4265
EHA03599_bin.33.fa.gz,91.42,2.38,3373855,9114
EHA03651_bin.35.fa.gz,89.64,3.4,3403462,5574
EHA03417_bin.7.fa.gz,87.2,1.57,4904013,28653
EHA00717_bin.42.fa.gz,86.77,3.111,1543531,24995
EHA03435_bin.37.fa.gz,98.55,0.07,2021155,16019
EHA03781_bin.282.fa.gz,89.43,1.06,2046173,8758
EHA03424_bin.29.fa.gz,53.87,3.71,3498750,2991
EHA03651_bin.306.fa.gz,87.38,1.0,1154758,4643
EHA01443_bin.67.fa.gz,91.98,5.817,2719105,7044
EHA03781_bin.505.fa.gz,91.6,4.11,1907544,24791
EHA03427_bin.2.fa.gz,95.52,3.54,3856109,20639
EHA00689_bin.10.fa.gz,80.18,0.67,2964589,4434
EHA01409_bin.16.fa.gz,77.68,0.806,1061337,20898
EHA03694_bin.365.fa.gz,74.16,5.39,1358940,9492
EHA03424_bin.9.fa.gz,100.0,0.06,3179783,46327
EHA00643_bin.20.fa.gz,85.23,1.342,2502749,8618
EHA00661_bin.33.fa.gz,97.98,0.0,2366859,55394
EHA03651_bin.397.fa.gz,64.47,0.05,1962279,24991
EHA03423_bin.19.fa.gz,99.47,0.02,2807415,41221
EHA00672_bin.7.fa.gz,94.33,0.943,2694164,7730
EHA03651_bin.309.fa.gz,78.78,5.85,3565012,4300
EHA01824_bin.1.fa.gz,100.0,0.2,1814536,90367
EHA00722_bin.3.fa.gz,95.87,1.279,3972807,81061
EHA01439_bin.31.fa.gz,59.81,2.076,2455966,3695
EHA01426_bin.83.fa.gz,73.4,1.376,2995116,5193
EHA03781_bin.629.fa.gz,77.84,2.88,2901990,2966
EHA03694_bin.100.fa.gz,89.92,0.51,2820156,17326
EHA01826_bin.56.fa.gz,64.87,3.24,4521031,3122
EHA01402_bin.25.fa.gz,91.36,2.536,3330947,11146
EHA03411_bin.20.fa.gz,76.45,0.61,1922050,3668
EHA03694_bin.199.fa.gz,96.66,0.11,2300274,43452
EHA03448_bin.32.fa.gz,91.53,4.59,3182737,22374
EHA03694_bin.113.fa.gz,96.73,0.41,3219649,13285
EHA03694_bin.36.fa.gz,88.35,4.37,4685560,22812
EHA03755_bin.218.fa.gz,66.74,3.04,2004212,3622
EHA03588_bin.22.fa.gz,99.81,0.55,4562027,42893
EHA03399_bin.14.fa.gz,99.46,2.17,2768095,62182
EHA03423_bin.47.fa.gz,63.8,8.21,3768664,2779
EHA01415_bin.63.fa.gz,80.16,1.848,3227969,5618
EHA03781_bin.358.fa.gz,84.71,0.33,2258538,45123
EHA00717_bin.54.fa.gz,70.95,0.472,1876044,27099
EHA03781_bin.641.fa.gz,56.06,1.81,1739935,4846
EHA00717_bin.12.fa.gz,94.29,0.671,2069003,19932
EHA03755_bin.83.fa.gz,90.98,0.28,3684623,17788
EHA03379_bin.22.fa.gz,96.61,0.0,3544063,134152
EHA03591_bin.22.fa.gz,91.8,0.94,1492486,51685
EHA03781_bin.202.fa.gz,99.58,1.47,4087912,52966
EHA01415_bin.39.fa.gz,51.72,2.586,4402413,4553
EHA03385_bin.32.fa.gz,51.63,1.76,2766548,37094
EHA03755_bin.331.fa.gz,98.69,0.55,3720810,74239
EHA03384_bin.15.fa.gz,99.97,0.11,4350175,48166
EHA03402_bin.3.fa.gz,54.63,0.2,1344949,2763
EHA02919_bin.54.fa.gz,97.39,0.23,1383554,3640
EHA03694_bin.293.fa.gz,71.61,4.05,2156378,4890
EHA03694_bin.405.fa.gz,95.81,6.35,3738799,20280
EHA03651_bin.495.fa.gz,63.32,1.41,2929631,3193
EHA00565_bin.4.fa.gz,84.39,2.29,3554221,21085
EHA03651_bin.286.fa.gz,99.09,0.4,1912191,4339
EHA03694_bin.455.fa.gz,92.2,0.9,2482064,26746
EHA03408_bin.14.fa.gz,84.27,1.36,3023178,12442
EHA00689_bin.2.fa.gz,98.17,2.602,4407181,44708
EHA03437_bin.19.fa.gz,95.38,0.53,1784895,213214
EHA03447_bin.44.fa.gz,83.5,0.37,3985061,43076
EHA00641_bin.6.fa.gz,85.52,1.025,4954840,14793
EHA03584_bin.13.fa.gz,100.0,0.33,1283278,18490
EHA01826_bin.10.fa.gz,100.0,0.38,3509972,22439
EHA03452_bin.26.fa.gz,58.25,1.03,2585482,12058
EHA03694_bin.602.fa.gz,95.31,1.65,2772265,7475
EHA03781_bin.394.fa.gz,91.45,0.66,2411796,12030
EHA02869_bin.59.fa.gz,79.6,2.07,2286306,5521
EHA02919_bin.266.fa.gz,99.31,0.53,1632043,5945
EHA03433_bin.6.fa.gz,61.76,0.65,3056833,3342
EHA03584_bin.43.fa.gz,50.46,8.86,999698,2412
EHA02915_bin.96.fa.gz,80.52,0.0,1541094,2506
EHA03755_bin.11.fa.gz,94.34,1.58,3060629,8254
EHA03651_bin.262.fa.gz,99.71,0.16,807966,3145
EHA03433_bin.22.fa.gz,88.94,0.12,2809983,48185
EHA00565_bin.11.fa.gz,58.19,4.349,2767332,2679
EHA03402_bin.17.fa.gz,53.77,5.39,1958404,2667
EHA00669_bin.1.fa.gz,99.32,0.0,2144853,130199
EHA02869_bin.109.fa.gz,96.27,0.62,1842961,65233
EHA03694_bin.522.fa.gz,85.37,4.17,1598733,36578
EHA03651_bin.273.fa.gz,58.2,0.43,907013,11634
EHA03376_bin.22.fa.gz,71.1,2.35,4014036,12997
EHA03781_bin.417.fa.gz,83.54,0.99,2499572,22957
EHA03651_bin.399.fa.gz,53.36,1.9,1466809,3509
EHA03409_bin.8.fa.gz,99.87,0.48,3590190,40753
EHA03781_bin.194.fa.gz,94.8,1.22,2288912,13287
EHA03651_bin.339.fa.gz,66.72,2.35,2266192,19051
EHA03450_bin.1.fa.gz,62.95,1.05,1317059,3684
EHA01426_bin.70.fa.gz,56.72,3.457,2163616,2612
EHA03651_bin.462.fa.gz,96.1,0.0,2345807,5185
EHA00565_bin.29.fa.gz,72.75,0.0,4442093,27535
EHA00689_bin.7.fa.gz,56.66,0.0,3476339,21844
EHA03373_bin.51.fa.gz,53.14,9.21,1995083,2228
EHA00805_bin.59.fa.gz,84.13,4.807,2682312,48425
EHA03651_bin.438.fa.gz,97.58,1.82,1080136,8320
EHA02869_bin.81.fa.gz,95.02,0.42,3616415,17989
EHA03694_bin.144.fa.gz,87.3,1.75,1970839,6640
EHA00805_bin.26.fa.gz,96.36,2.274,4321515,35951
EHA03694_bin.147.fa.gz,81.48,1.86,1281122,3815
EHA01443_bin.88.fa.gz,63.36,0.671,1961767,3270
EHA03398_bin.29.fa.gz,56.11,4.51,2220206,2613
EHA00722_bin.23.fa.gz,92.87,0.0,1429820,63705
EHA03426_bin.31.fa.gz,50.23,3.97,2184417,2540
EHA00648_bin.7.fa.gz,94.11,0.653,1880090,3581
EHA01409_bin.33.fa.gz,60.0,0.0,1021576,70571
EHA03781_bin.383.fa.gz,97.57,0.3,2234672,4273
EHA01415_bin.100.fa.gz,85.06,3.131,3127452,5380
EHA01415_bin.55.fa.gz,73.55,0.85,2423712,5660
EHA03377_bin.24.fa.gz,83.8,0.35,2618006,20174
EHA03401_bin.4.fa.gz,94.62,0.66,3823117,63146
EHA03386_bin.12.fa.gz,50.25,0.41,1495990,2672
EHA02869_bin.37.fa.gz,99.37,0.19,3202445,30571
EHA02919_bin.9.fa.gz,94.19,0.27,5659922,16258
EHA02869_bin.72.fa.gz,90.04,2.82,3682967,6291
EHA03755_bin.145.fa.gz,97.57,0.18,3011578,38457
EHA00565_bin.26.fa.gz,98.2,2.26,2849522,46510
EHA03418_bin.6.fa.gz,98.02,0.33,3573714,50360
EHA03383_bin.14.fa.gz,99.81,1.58,3805641,115993
EHA03447_bin.10.fa.gz,51.57,4.18,1631225,2799
EHA01426_bin.58.fa.gz,84.89,1.257,3220495,6138
EHA01432_bin.5.fa.gz,85.78,1.022,4285216,8130
EHA03694_bin.327.fa.gz,93.27,1.1,4142140,6840
EHA03781_bin.542.fa.gz,97.12,0.34,2040209,8178
EHA03408_bin.27.fa.gz,96.09,0.02,3365069,87734
EHA03584_bin.2.fa.gz,99.8,0.33,4027519,125812
EHA03781_bin.702.fa.gz,96.72,3.37,1977706,4134
EHA00675_bin.11.fa.gz,100.0,0.0,4839895,76179
EHA03425_bin.27.fa.gz,92.05,0.16,1507295,130937
EHA03401_bin.23.fa.gz,84.14,0.21,2571025,25650
EHA03378_bin.1.fa.gz,99.79,0.15,1975244,30683
EHA00726_bin.31.fa.gz,71.2,1.685,1785298,2731
EHA03781_bin.440.fa.gz,74.0,0.29,1532986,5693
EHA00690_bin.5.fa.gz,98.65,0.559,3524428,129388
EHA01443_bin.30.fa.gz,99.37,0.576,3571319,56863
EHA01439_bin.56.fa.gz,69.21,2.49,2352978,4377
EHA03781_bin.405.fa.gz,89.56,5.09,3449451,33563
EHA03781_bin.122.fa.gz,86.49,0.83,3117291,10297
EHA01409_bin.27.fa.gz,51.01,0.0,1494224,2804
EHA03755_bin.150.fa.gz,91.59,1.32,4009603,30560
EHA03781_bin.761.fa.gz,53.08,5.88,2327518,2264
EHA03421_bin.17.fa.gz,97.26,0.36,1050574,16043
EHA01409_bin.35.fa.gz,91.39,0.0,2073963,3406
EHA03598_bin.30.fa.gz,87.44,0.16,2382411,7120
EHA03416_bin.8.fa.gz,69.46,1.53,3376595,5753
EHA00564_bin.18.fa.gz,59.64,4.385,808109,10019
EHA03408_bin.28.fa.gz,88.99,0.46,2665603,6561
EHA03694_bin.242.fa.gz,92.1,3.68,2868783,10192
EHA03781_bin.538.fa.gz,91.83,0.19,3857340,22659
EHA03694_bin.198.fa.gz,92.15,0.02,1030427,37763
EHA00719_bin.3.fa.gz,94.25,1.327,3420276,51736
EHA01426_bin.42.fa.gz,80.65,2.822,1812392,4674
EHA03380_bin.14.fa.gz,94.99,0.11,3790964,150084
EHA03755_bin.333.fa.gz,79.54,3.02,2656031,4543
EHA03447_bin.31.fa.gz,91.56,2.18,2667061,10020
EHA02919_bin.225.fa.gz,97.17,0.07,1908880,46681
EHA02919_bin.246.fa.gz,99.6,0.17,1545517,10268
EHA01447_bin.13.fa.gz,70.22,3.872,2431961,6939
EHA03651_bin.132.fa.gz,97.36,0.13,1468436,45201
EHA01404_bin.100.fa.gz,95.35,2.509,4920172,54912
EHA03694_bin.305.fa.gz,86.98,2.4,4153741,7087
EHA03694_bin.84.fa.gz,91.31,1.43,2482508,45918
EHA03597_bin.14.fa.gz,95.55,0.02,3532760,132799
EHA00660_bin.23.fa.gz,91.23,0.0,5951914,61619
EHA03394_bin.18.fa.gz,99.93,0.49,5420383,111091
EHA03694_bin.35.fa.gz,91.58,4.35,3848111,18346
EHA00724_bin.2.fa.gz,94.76,0.0,1846759,3756
EHA00805_bin.76.fa.gz,82.79,0.0,3888529,78191
EHA03586_bin.15.fa.gz,97.72,0.38,3020426,152228
EHA03651_bin.219.fa.gz,96.25,0.15,2024841,5630
EHA00805_bin.29.fa.gz,67.59,1.089,3262619,5196
EHA03694_bin.544.fa.gz,51.79,8.87,4187017,14621
EHA01439_bin.53.fa.gz,65.05,1.818,1787397,3246
EHA03651_bin.10.fa.gz,93.79,1.42,5322507,56820
EHA03392_bin.9.fa.gz,73.02,1.73,2412713,4174
EHA03586_bin.29.fa.gz,75.77,1.23,1951847,4013
EHA03781_bin.631.fa.gz,76.98,6.55,2895349,5192
EHA01404_bin.82.fa.gz,97.75,2.247,1742566,124883
EHA03694_bin.592.fa.gz,96.29,0.2,1366671,2511
EHA03385_bin.49.fa.gz,82.48,1.21,2340781,4714
EHA03385_bin.28.fa.gz,93.03,0.73,4190332,58383
EHA03694_bin.261.fa.gz,100.0,3.64,4745418,41124
EHA00658_bin.7.fa.gz,95.12,0.268,3031985,36536
EHA03651_bin.93.fa.gz,93.19,1.38,3179990,39107
EHA03694_bin.539.fa.gz,81.11,2.73,1362700,3753
EHA03422_bin.14.fa.gz,100.0,0.21,3252405,17567
EHA03694_bin.441.fa.gz,70.66,1.48,2993908,6501
EHA03755_bin.86.fa.gz,94.61,0.92,2669509,17882
EHA01447_bin.63.fa.gz,70.78,2.471,1188414,3526
EHA03397_bin.9.fa.gz,97.56,0.17,2149163,65061
EHA03599_bin.30.fa.gz,67.71,0.14,2205204,2907
EHA03450_bin.8.fa.gz,94.94,0.13,1757739,12345
EHA03423_bin.48.fa.gz,50.44,1.61,1704797,3728
EHA03423_bin.56.fa.gz,53.0,2.45,3620978,4357
EHA03434_bin.50.fa.gz,93.82,0.03,771873,12872
EHA03427_bin.13.fa.gz,78.9,2.17,2968913,7328
EHA03781_bin.774.fa.gz,55.27,4.62,2062274,4093
EHA03391_bin.34.fa.gz,96.51,0.33,3479459,18992
EHA03408_bin.34.fa.gz,91.94,1.75,2530897,15045
EHA01421_bin.67.fa.gz,72.72,1.794,4372976,19416
EHA03781_bin.726.fa.gz,76.75,0.65,1910872,10780
EHA00651_bin.4.fa.gz,95.96,0.0,2225576,187702
EHA00563_bin.39.fa.gz,93.56,4.368,3228386,12550
EHA01432_bin.105.fa.gz,69.54,1.79,1918253,16803
EHA03438_bin.34.fa.gz,62.42,1.95,3198734,12752
EHA00670_bin.12.fa.gz,97.39,2.602,6095072,106392
EHA03422_bin.18.fa.gz,99.97,2.27,3765518,134033
EHA03409_bin.34.fa.gz,83.07,4.07,2379894,6164
EHA00681_bin.26.fa.gz,67.67,1.006,2584887,3814
EHA03755_bin.397.fa.gz,56.71,5.41,3782303,5139
EHA03781_bin.296.fa.gz,99.13,1.52,3205117,19325
EHA01826_bin.20.fa.gz,96.41,0.93,988894,32050
EHA01432_bin.162.fa.gz,65.1,0.506,1676241,3886
EHA03694_bin.74.fa.gz,95.93,1.06,4271307,19383
EHA03432_bin.8.fa.gz,93.46,0.6,3179037,23626
EHA01409_bin.6.fa.gz,71.1,3.355,2343783,7799
EHA03651_bin.211.fa.gz,97.09,1.32,1591666,3137
EHA01443_bin.118.fa.gz,98.43,2.237,4424185,150189
EHA03651_bin.108.fa.gz,67.54,0.96,1054256,3237
EHA03781_bin.498.fa.gz,99.77,1.42,2030753,12398
EHA03781_bin.259.fa.gz,95.87,1.66,1684651,23506
EHA03427_bin.8.fa.gz,73.23,1.99,3309881,3718
EHA03781_bin.359.fa.gz,100.0,0.21,3102850,74678
EHA03694_bin.177.fa.gz,96.48,2.67,3933656,36082
EHA00723_bin.6.fa.gz,70.93,0.0,1820889,3791
EHA00726_bin.24.fa.gz,97.7,0.574,3788017,87362
EHA00674_bin.4.fa.gz,97.76,1.118,1874883,38748
EHA03694_bin.309.fa.gz,95.86,0.28,770972,133508
EHA02919_bin.134.fa.gz,81.54,2.4,3923158,11489
EHA03781_bin.428.fa.gz,75.9,1.87,3519944,34878
EHA03755_bin.404.fa.gz,53.05,0.26,1349915,2967
EHA01415_bin.35.fa.gz,85.09,0.805,3275301,19947
EHA03694_bin.158.fa.gz,98.4,2.67,2464266,66370
EHA03651_bin.389.fa.gz,98.5,0.03,1458825,3883
EHA02915_bin.106.fa.gz,75.44,1.26,3026362,6757
EHA00656_bin.1.fa.gz,81.29,0.249,2442653,6346
EHA03755_bin.293.fa.gz,75.21,2.34,2186029,3620
EHA03422_bin.5.fa.gz,79.21,0.47,1550619,4271
EHA01415_bin.31.fa.gz,56.28,0.591,2042430,2791
EHA03402_bin.4.fa.gz,96.12,1.51,5015784,173381
EHA03414_bin.7.fa.gz,99.97,1.5,2908670,102783
EHA01421_bin.29.fa.gz,99.98,1.696,2392356,101479
EHA03418_bin.11.fa.gz,94.3,0.7,3158964,7090
EHA02919_bin.77.fa.gz,96.62,0.04,2491747,2435
EHA03781_bin.477.fa.gz,94.36,2.06,1992958,11730
EHA01447_bin.60.fa.gz,78.15,1.38,2894523,5208
EHA01421_bin.24.fa.gz,70.2,1.203,2390690,3486
EHA03781_bin.617.fa.gz,97.31,1.22,3768689,10088
EHA03694_bin.557.fa.gz,62.4,0.64,662631,2581
EHA01404_bin.46.fa.gz,62.88,3.763,1801567,2987
EHA00726_bin.5.fa.gz,54.2,5.016,1868850,3221
EHA03694_bin.428.fa.gz,97.23,0.01,1522279,25344
EHA03444_bin.10.fa.gz,82.9,2.15,3922771,6007
EHA03781_bin.342.fa.gz,97.6,2.26,1056715,7598
EHA03694_bin.253.fa.gz,97.55,0.0,1523669,140711
EHA03755_bin.1.fa.gz,50.89,1.15,1814991,3506
EHA03385_bin.22.fa.gz,53.75,0.73,1942842,3183
EHA03781_bin.198.fa.gz,87.78,0.22,2214165,3878
EHA01421_bin.10.fa.gz,74.68,2.524,2824586,3729
EHA03428_bin.16.fa.gz,55.36,2.26,2213972,2529
EHA03408_bin.35.fa.gz,56.4,1.24,3129813,3676
EHA02919_bin.264.fa.gz,96.53,1.86,1348672,4063
EHA03781_bin.12.fa.gz,99.52,0.11,2143983,58791
EHA03384_bin.1.fa.gz,99.94,4.42,6652469,137064
EHA03651_bin.308.fa.gz,84.43,2.51,1843829,3931
EHA00659_bin.31.fa.gz,74.58,1.075,2455252,6059
EHA03694_bin.53.fa.gz,95.29,1.16,3150901,21861
EHA03598_bin.7.fa.gz,100.0,0.88,3208530,100278
EHA03651_bin.41.fa.gz,95.29,0.1,4047949,40779
EHA03755_bin.176.fa.gz,65.16,0.29,1650652,3418
EHA01421_bin.17.fa.gz,96.0,0.0,2789115,114671
EHA00683_bin.3.fa.gz,60.51,0.862,3768995,22861
EHA01409_bin.70.fa.gz,99.1,1.342,3085315,6178
EHA03388_bin.4.fa.gz,100.0,0.0,3691753,67755
EHA03443_bin.39.fa.gz,74.8,4.03,1148803,2559
EHA03446_bin.13.fa.gz,99.94,3.07,5203301,56863
EHA03781_bin.97.fa.gz,98.29,0.77,2809390,6188
EHA01447_bin.2.fa.gz,69.15,0.098,2335512,3931
EHA00563_bin.31.fa.gz,89.73,1.685,1294030,10419
EHA03694_bin.512.fa.gz,81.54,1.52,2242701,4421
EHA01409_bin.8.fa.gz,68.43,5.435,2540747,2969
EHA03694_bin.64.fa.gz,95.97,3.8,1703166,15610
EHA03694_bin.129.fa.gz,94.93,1.24,2144132,111842
